filename,original score,file length,pad length,loss,predict score
../malicious_0525/0778a070b283d5f4057aeb3b42d58b82ed20e4eb_f205bd9628ff8dd7d99771f13422a665a70bb916,[0.00114008],235,23,1.0,[0.91213626]
../malicious_0525/fbd1a4b23eff620c1a36f7c9d48590d2fccda4c2_cc82281bc576f716d9a0271d206beb81ad078b53,[3.4563283e-05],41713,4171,3.456328340689652e-05,[3.4563283e-05]
../malicious_0525/c095da034535f15a27c073dce54212a28e1af683_8e86441bc4f6a7fc492779caf280f1d769e0cd4d,[0.00012831],92441,-12441,,
../malicious_0525/488e5eea345e24440f7d0d2a32fbafda314ee6ca_df473c0493d503828157e32664e28357a4094f7a,[2.1847043e-08],75404,4596,2.1847043285561085e-08,[2.1847043e-08]
../malicious_0525/7a359bcc1c7ac5f18eff7c3459dadefa9f9e4610_3b7ac6b0a7a720460526c78628c8616dad8c6a1f,[0.02608803],1156,115,1.0,[0.83678764]
../malicious_0525/509038aad80431b8aa0c9b29bfce07fe7134fc7a_263fbe72e691a0c047f75ce75a585ba0af84ac94,[6.2685203e-16],59983,5998,6.268520265714653e-16,[6.2685203e-16]
../malicious_0525/05202b7ebc42f2a159154f99cec58fc1bcfe2c17_8cc75062dbe1ddc363fa5178312845709f669e37,[1.8682248e-07],111442,-31442,,
../malicious_0525/c47ed37c0e1e8be110f889f5989aea6b1bb7fda4_42c3033e34d27c951f7db7ae6aa5f45b8ef472ac,[9.199996e-06],56188,5618,9.199996384268161e-06,[9.199996e-06]
../malicious_0525/18a62e8ee8522c26e9970373895209ee15a56841_4f0f6e9d21bbbe1842e8e8d6d911561108389662,[0.07595182],293,29,1.0,[0.99835265]
../malicious_0525/12113db281913797b6d58079b45089d4d057f766_ce1c8adb310886deb3ace648d4152ddeb1ed32fb,[2.2755225e-06],131550,-51550,,
../normal_0424/19c625db4021d4934916f42b97777098b0b8cf15_0192ba11326fe2298c8cb4de616f4d4140213838,[0.9939839],45,4,,
../normal_0424/2a7a2505e43decf3583ec11bbad6ead816ef1861_2906bffe07800fe9ff93d544bff8a46e56aa64d9,[0.9997619],11127,1112,,
../normal_0424/3f3fc4ed6a51a4385de9a38b164bcc14a4334eac_20002faf28adfd94ca98cf6ced46f14334b53684,[1.],503,50,,
../normal_0424/ead2a1884a52c93c654853d2891a1208ac6ee2b8_b75311ed885fb252554ab6dc228326d388043630,[0.99732935],24,2,,
../normal_0424/6bc4d5ba3fa9c0f1c1431de8d214cc90bcfe4b55_4f53fe0260bec1166add1d1977e461984c448473,[0.9997665],84050,-4050,,
../normal_0424/3138cef67d651745c2db3744a70d6bf861e2a728_7b5ec86f006dc6d35d48821ca1311561bd86157a,[0.99948454],27757,2775,,
../normal_0424/80913fa3c7d18d89c47b42e929cf9c98729aa565_2dcb3285f944bc0b6e7cb7612dad360b9458ccdc,[0.9999622],6455574,-6375574,,
../normal_0424/5746b9ed6b78d8f1cdb0b8bb9016624a46430346_007439fd0f1bfcb25e540a2b5ddbc96d7ea09afd,[1.],252055,-172055,,
../normal_0424/3ac6ef121770866e84cb9b3f799e373da53a8e02_9eed86e0fc9ad5cfb9642aeca6e792c56c1ecac0,[0.5719014],0,0,,
../normal_0424/2b5137a1658c040ebe72bba8506c8405a06e173e_48c0985d5f2bb938d526fc1f18e8c1ad7b7c62d8,[0.99999976],1677,167,,
